Loss,Time,Solver,Subset,p
467893.4719114965,0.7278635501861572,Analytic,Test,1002
2.061879643434365e-07,3.4484786987304688,SGD,Train,1002
467893.6790809876,3.4484786987304688,SGD,Test,1002
3.398584675787302e-20,0.714191198348999,Analytic,Train,1002
467893.4719114965,0.714191198348999,Analytic,Test,1002
9.917576689001639e-08,3.4162065982818604,SGD,Train,1002
467892.86640792195,3.4162065982818604,SGD,Test,1002
3.398584675787302e-20,0.7320907115936279,Analytic,Train,1002
467893.4719114965,0.7320907115936279,Analytic,Test,1002
1.6636602512959066e+24,0.4439229965209961,SGD,Train,1002
1.6575340133106904e+24,0.4439229965209961,SGD,Test,1002
3.398584675787302e-20,0.7806248664855957,Analytic,Train,1002
467893.4719114965,0.7806248664855957,Analytic,Test,1002
1.2523174827684532e+24,0.5770936012268066,SGD,Train,1002
1.2693222332886497e+24,0.5770936012268066,SGD,Test,1002
3.398584675787302e-20,0.7456820011138916,Analytic,Train,1002
467893.4719114965,0.7456820011138916,Analytic,Test,1002
5.617354127634155e+22,0.42218732833862305,SGD,Train,1002
3.785574383058592e+22,0.42218732833862305,SGD,Test,1002
3.398584675787302e-20,0.7373909950256348,Analytic,Train,1002
467893.4719114965,0.7373909950256348,Analytic,Test,1002
1.5788437616601462e-07,3.418497085571289,SGD,Train,1002
467893.61574319185,3.418497085571289,SGD,Test,1002
3.398584675787302e-20,0.7320652008056641,Analytic,Train,1002
467893.4719114965,0.7320652008056641,Analytic,Test,1002
2.6982002268114042e-08,3.451796293258667,SGD,Train,1002
467893.88648427604,3.451796293258667,SGD,Test,1002
3.398584675787302e-20,0.720550537109375,Analytic,Train,1002
467893.4719114965,0.720550537109375,Analytic,Test,1002
7.460756961311548e-08,3.3273260593414307,SGD,Train,1002
467893.75584615814,3.3273260593414307,SGD,Test,1002
3.398584675787302e-20,0.723705530166626,Analytic,Train,1002
467893.4719114965,0.723705530166626,Analytic,Test,1002
2.1252368751647756e+23,0.557499885559082,SGD,Train,1252
1.8903834173699778e+23,0.557499885559082,SGD,Test,1252
9.856983261740613e-20,1.3402369022369385,Analytic,Train,1252
402187.6439448999,1.3402369022369385,Analytic,Test,1252
1.2123275607193709e+23,0.59783935546875,SGD,Train,1252
1.0216840618104396e+23,0.59783935546875,SGD,Test,1252
9.856983261740613e-20,1.347916603088379,Analytic,Train,1252
402187.6439448999,1.347916603088379,Analytic,Test,1252
4.4180959148277045e+22,0.5635585784912109,SGD,Train,1252
3.3368644346118295e+22,0.5635585784912109,SGD,Test,1252
9.856983261740613e-20,1.3284010887145996,Analytic,Train,1252
402187.6439448999,1.3284010887145996,Analytic,Test,1252
9.737984238201293e-09,3.0733327865600586,SGD,Train,1252
402188.1032064958,3.0733327865600586,SGD,Test,1252
9.856983261740613e-20,1.3590989112854004,Analytic,Train,1252
402187.6439448999,1.3590989112854004,Analytic,Test,1252
3.891290904679782e+23,0.5975339412689209,SGD,Train,1252
3.6855975466179195e+23,0.5975339412689209,SGD,Test,1252
9.856983261740613e-20,1.3494634628295898,Analytic,Train,1252
402187.6439448999,1.3494634628295898,Analytic,Test,1252
3.766825323379278e+23,0.5224564075469971,SGD,Train,1252
3.453643492287739e+23,0.5224564075469971,SGD,Test,1252
9.856983261740613e-20,1.3463184833526611,Analytic,Train,1252
402187.6439448999,1.3463184833526611,Analytic,Test,1252
2.376717966127592e-07,3.0176823139190674,SGD,Train,1252
402187.8568970545,3.0176823139190674,SGD,Test,1252
9.856983261740613e-20,1.3371891975402832,Analytic,Train,1252
402187.6439448999,1.3371891975402832,Analytic,Test,1252
9.668250875922991e+23,0.4618983268737793,SGD,Train,1252
9.680333632724981e+23,0.4618983268737793,SGD,Test,1252
9.856983261740613e-20,1.3352105617523193,Analytic,Train,1252
402187.6439448999,1.3352105617523193,Analytic,Test,1252
1.9828218945270104e+19,1.0614655017852783,SGD,Train,1252
8.905445077623258e+18,1.0614655017852783,SGD,Test,1252
9.856983261740613e-20,1.3774468898773193,Analytic,Train,1252
402187.6439448999,1.3774468898773193,Analytic,Test,1252
9.302156656290846e+23,0.29734134674072266,SGD,Train,1252
8.758503672655083e+23,0.29734134674072266,SGD,Test,1252
9.856983261740613e-20,1.347738265991211,Analytic,Train,1252
402187.6439448999,1.347738265991211,Analytic,Test,1252
2.1608593857239245e-08,2.9646825790405273,SGD,Train,1252
402187.18862317305,2.9646825790405273,SGD,Test,1252
9.856983261740613e-20,1.345184564590454,Analytic,Train,1252
402187.6439448999,1.345184564590454,Analytic,Test,1252
8.774742508835515e+23,0.48232412338256836,SGD,Train,1252
8.701361381137571e+23,0.48232412338256836,SGD,Test,1252
9.856983261740613e-20,1.3449387550354004,Analytic,Train,1252
402187.6439448999,1.3449387550354004,Analytic,Test,1252
1.1213477050402067e+20,1.0641930103302002,SGD,Train,1252
1.1324211912921524e+20,1.0641930103302002,SGD,Test,1252
9.856983261740613e-20,1.365063190460205,Analytic,Train,1252
402187.6439448999,1.365063190460205,Analytic,Test,1252
2.0031180019887397e+20,1.0990028381347656,SGD,Train,1252
1.982980693247152e+20,1.0990028381347656,SGD,Test,1252
9.856983261740613e-20,1.364126205444336,Analytic,Train,1252
402187.6439448999,1.364126205444336,Analytic,Test,1252
1.622946345535681e+24,0.5259513854980469,SGD,Train,1252
1.6083370819110953e+24,0.5259513854980469,SGD,Test,1252
9.856983261740613e-20,1.3192307949066162,Analytic,Train,1252
402187.6439448999,1.3192307949066162,Analytic,Test,1252
1.477785977842519e+24,0.5074477195739746,SGD,Train,1252
1.4426026984934063e+24,0.5074477195739746,SGD,Test,1252
9.856983261740613e-20,1.310293197631836,Analytic,Train,1252
402187.6439448999,1.310293197631836,Analytic,Test,1252
1.1961860651605069e-08,3.0995583534240723,SGD,Train,1252
402187.7768371763,3.0995583534240723,SGD,Test,1252
9.856983261740613e-20,1.3269610404968262,Analytic,Train,1252
402187.6439448999,1.3269610404968262,Analytic,Test,1252
1.3713125089622244e-08,2.954803943634033,SGD,Train,1252
402187.2199662569,2.954803943634033,SGD,Test,1252
9.856983261740613e-20,1.3335886001586914,Analytic,Train,1252
402187.6439448999,1.3335886001586914,Analytic,Test,1252
1.1545589750183428e-08,3.0386240482330322,SGD,Train,1252
402187.2780073603,3.0386240482330322,SGD,Test,1252
9.856983261740613e-20,1.3652665615081787,Analytic,Train,1252
402187.6439448999,1.3652665615081787,Analytic,Test,1252
9.2741317054339e-09,3.0477330684661865,SGD,Train,1252
402187.5395906277,3.0477330684661865,SGD,Test,1252
9.856983261740613e-20,1.3355042934417725,Analytic,Train,1252
402187.6439448999,1.3355042934417725,Analytic,Test,1252
5.690208703799964e+22,0.5063245296478271,SGD,Train,1502
2.0039806643001505e+22,0.5063245296478271,SGD,Test,1502
3.668431995501967e-20,2.370183229446411,Analytic,Train,1502
